Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,Entry_Signal,Exit_Signal,Position,Equity
2026-07-06,751.28,752.41,747.41,748.74,50673300,739.9292,736.7489,58.1229,0,0,1,116152.9702
2026-07-07,747.71,750.96,745.21,750.22,43721500,740.532,737.5705,55.2754,0,0,1,115601.0229
2026-07-08,745.4,746.15,739.51,743.16,43767400,740.9359,738.2364,53.4507,0,0,1,115243.8817
2026-07-09,751.71,751.97,745.59,747.35,41441700,741.7636,739.004,57.571,0,0,1,116219.4499
2026-07-10,754.95,755.42,748.1,752.05,42191300,743.3328,739.9058,59.5508,0,0,1,116720.3743
2026-07-13,749.17,753.91,748.0,752.47,44013600,743.9981,740.6941,54.6515,0,0,1,115826.7427
2026-07-14,751.83,753.34,748.66,750.91,35143100,744.5974,741.3945,56.4281,0,0,1,116238.002
2026-07-15,754.81,755.58,750.2,754.24,43844800,744.6934,742.1147,58.3946,0,0,1,116698.7271
2026-07-16,750.72,754.57,747.88,752.76,46409800,744.8093,742.8058,54.7428,0,0,1,116066.3813
2026-07-17,743.29,747.29,740.8,742.08,62569200,745.021,743.2334,48.7754,0,0,1,114917.6542
